water_depth_m,u_mid_m,Ky_N_per_m,Ky_kN_per_m
160.2,64.5,979141.6953,979.1416953
160.2,65.5,973951.3436,973.9513436
160.2,66.5,968870.1525,968.8701525
160.2,67.5,963891.7592,963.8917592
160.2,68.5,959013.6546,959.0136546
160.2,69.5,954232.1603,954.2321603
160.2,70.5,949544.3221,949.5443221
160.2,71.5,944947.2183,944.9472183
160.2,72.5,940437.6783,940.4376783
160.2,73.5,936013.1391,936.0131391
160.2,74.5,931670.8122,931.6708122
160.2,75.5,927408.269,927.408269
160.2,76.5,923222.8449,923.2228449
160.2,77.5,919112.2991,919.1122991
160.2,78.5,915074.3274,915.0743274
160.2,79.5,911106.7166,911.1067166
160.2,80.5,907207.3457,907.2073457
160.2,81.5,903374.1706,903.3741706
160.2,82.5,899605.1215,899.6051215
160.2,83.5,895898.617,895.898617
160.2,84.5,892252.2817,892.2522817
160.2,85.5,888664.636,888.664636
160.2,86.5,885134.3539,885.1343539
160.2,87.5,881657.533,881.657533
160.2,88.5,878235.6681,878.2356681
160.2,89.5,874864.7872,874.8647872
160.2,90.5,871544.0151,871.5440151
160.2,91.5,868270.0095,868.2700095
160.2,92.5,865045.2167,865.0452167
160.2,93.5,861861.2298,861.8612298
160.2,94.5,858719.9057,858.7199057
160.2,95.5,855616.9359,855.6169359
160.2,96.5,852547.335,852.547335
160.2,97.5,849502.9435,849.5029435
160.2,98.5,846463.1702,846.4631702
160.2,99.5,843115.5891,843.1155891
160.3,-99.5,842992.5059,842.9925059
160.3,-98.5,846341.362,846.341362
160.3,-97.5,849381.0879,849.3810879
160.3,-96.5,852425.3427,852.4253427
160.3,-95.5,855494.9492,855.4949492
160.3,-94.5,858598.1167,858.5981167
160.3,-93.5,861739.7452,861.7397452
160.3,-92.5,864922.2156,864.9222156
160.3,-91.5,868149.2764,868.1492764
160.3,-90.5,871422.2353,871.4222353
160.3,-89.5,874743.2283,874.7432283
160.3,-88.5,878114.0713,878.1140713
160.3,-87.5,881536.5205,881.5365205
160.3,-86.5,885012.3085,885.0123085
160.3,-85.5,888543.1672,888.5431672
160.3,-84.5,892130.8453,892.1308453
160.3,-83.5,895777.1208,895.7771208
160.3,-82.5,899483.8108,899.4838108
160.3,-81.5,903252.78,903.25278
160.3,-80.5,907085.9478,907.0859478
160.3,-79.5,910985.2948,910.9852948
160.3,-78.5,914952.8675,914.9528675
160.3,-77.5,918990.7859,918.9907859
160.3,-76.5,923101.2471,923.1012471
160.3,-75.5,927286.5317,927.2865317
160.3,-74.5,931549.0087,931.5490087
160.3,-73.5,935891.1409,935.8911409
160.3,-72.5,940315.4911,940.3154911
160.3,-71.5,944824.727,944.824727
160.3,-70.5,949421.6278,949.4216278
160.3,-69.5,954109.0952,954.1090952
160.3,-68.5,958890.146,958.890146
160.3,-67.5,963767.8964,963.7678964
160.3,-66.5,968745.7254,968.7457254
160.3,-65.5,973826.9643,973.8269643
160.3,-64.5,979015.258,979.015258
160.3,-63.5,984314.3533,984.3143533
160.3,-62.5,989728.1441,989.7281441
160.3,-61.5,995260.7318,995.2607318
160.3,-60.5,1000916.395,1000.916395
160.3,-59.5,1006699.606,1006.699606
160.3,-58.5,1012615.046,1012.615046
160.3,-57.5,1018667.604,1018.667604
160.3,-56.5,1024862.397,1024.862397
160.3,-55.5,1031204.773,1031.204773
160.3,-54.5,1037700.322,1037.700322
160.3,-53.5,1044354.888,1044.354888
160.3,-52.5,1051174.573,1051.174573
160.3,-51.5,1058165.746,1058.165746
160.3,-50.5,1065335.054,1065.335054
160.3,-49.5,1072689.42,1072.68942
160.3,-48.5,1080236.05,1080.23605
160.3,-47.5,1087982.436,1087.982436
160.3,-46.5,1095936.344,1095.936344
160.3,-45.5,1104105.817,1104.105817
