water_depth_m,u_mid_m,Kz_N_per_m,Kz_kN_per_m
161.2,-4.5,83564.72930422578,83.56472930422578
161.2,-3.5,83745.9494579539,83.7459494579539
161.2,-2.5,83912.72891785191,83.91272891785191
161.2,-1.5,84065.34253509562,84.06534253509562
161.2,-0.5,84204.07805518502,84.20407805518502
161.2,0.5,84329.23492564102,84.32923492564102
161.2,1.5,84441.12309745053,84.44112309745053
161.2,2.5,84540.06182759216,84.54006182759215
161.2,3.5,84626.37849097316,84.62637849097317
161.2,4.5,84700.40740794095,84.70040740794094
161.2,5.5,84762.48869585521,84.76248869585521
161.2,6.5,84812.96714808005,84.81296714808005
161.2,7.5,84852.19114797193,84.85219114797192
161.2,8.5,84880.51162236671,84.88051162236671
161.2,9.5,84898.28103656076,84.89828103656076
161.3,-24.5,76605.11748195403,76.60511748195403
161.3,-23.5,77103.95802367984,77.10395802367984
161.3,-22.5,77587.00022799436,77.58700022799435
161.3,-21.5,78054.09664927742,78.05409664927741
161.3,-20.5,78505.12252301537,78.50512252301536
161.3,-19.5,78939.97627244279,78.93997627244279
161.3,-18.5,79358.57989705222,79.35857989705221
161.3,-17.5,79760.87924296588,79.76087924296588
161.3,-16.5,80146.84415437825,80.14684415437826
161.3,-15.5,80516.46850538831,80.51646850538832
161.3,-14.5,80869.77011178904,80.86977011178904
161.3,-13.5,81206.79052634009,81.20679052634009
161.3,-12.5,81527.5947183949,81.52759471839491
